Date;P1;Q1;P2;Q2;P3;Q3;;
22.07.2017 05:44;6.92;0;6.92;0;6.92;0;;
22.07.2017 05:45;6.9;0;6.9;0;6.9;0;;
22.07.2017 05:46;6.91;0;6.91;0;6.91;0;;
22.07.2017 05:47;6.893333333;0;6.893333333;0;6.893333333;0;;
22.07.2017 05:48;6.913333333;0;6.913333333;0;6.913333333;0;;
22.07.2017 05:49;6.926666667;0;6.926666667;0;6.926666667;0;;
22.07.2017 05:50;6.923333333;0;6.923333333;0;6.923333333;0;;
22.07.2017 05:51;6.95;0;6.95;0;6.95;0;;
22.07.2017 05:52;6.93;0;6.93;0;6.93;0;;
22.07.2017 05:53;6.92;0;6.92;0;6.92;0;;
22.07.2017 05:54;6.926666667;0;6.926666667;0;6.926666667;0;;
22.07.2017 05:55;6.926666667;0;6.926666667;0;6.926666667;0;;
22.07.2017 05:56;6.923333333;0;6.923333333;0;6.923333333;0;;
22.07.2017 05:57;6.913333333;0;6.913333333;0;6.913333333;0;;
22.07.2017 05:58;6.91;0;6.91;0;6.91;0;;
22.07.2017 05:59;6.92;0;6.92;0;6.92;0;;
22.07.2017 06:00;6.913333333;0;6.913333333;0;6.913333333;0;;
22.07.2017 06:01;6.923333333;0;6.923333333;0;6.923333333;0;;
22.07.2017 06:02;6.913333333;0;6.913333333;0;6.913333333;0;;
22.07.2017 06:03;6.93;0;6.93;0;6.93;0;;
22.07.2017 06:04;6.933333333;0;6.933333333;0;6.933333333;0;;
22.07.2017 06:05;6.946666667;0;6.946666667;0;6.946666667;0;;
22.07.2017 06:06;6.943333333;0;6.943333333;0;6.943333333;0;;
22.07.2017 06:07;6.906666667;0;6.906666667;0;6.906666667;0;;
22.07.2017 06:08;6.936666667;0;6.936666667;0;6.936666667;0;;
22.07.2017 06:09;6.9;0;6.9;0;6.9;0;;
22.07.2017 06:10;6.91;0;6.91;0;6.91;0;;
22.07.2017 06:11;6.926666667;0;6.926666667;0;6.926666667;0;;
22.07.2017 06:12;6.93;0;6.93;0;6.93;0;;
22.07.2017 06:13;6.913333333;0;6.913333333;0;6.913333333;0;;
22.07.2017 06:14;6.926666667;0;6.926666667;0;6.926666667;0;;
22.07.2017 06:15;6.916666667;0;6.916666667;0;6.916666667;0;;
22.07.2017 06:16;6.93;0;6.93;0;6.93;0;;
22.07.2017 06:17;6.923333333;0;6.923333333;0;6.923333333;0;;
22.07.2017 06:18;6.936666667;0;6.936666667;0;6.936666667;0;;
22.07.2017 06:19;6.933333333;0;6.933333333;0;6.933333333;0;;
22.07.2017 06:20;6.913333333;0;6.913333333;0;6.913333333;0;;
22.07.2017 06:21;6.906666667;0;6.906666667;0;6.906666667;0;;
22.07.2017 06:22;6.906666667;0;6.906666667;0;6.906666667;0;;
22.07.2017 06:23;6.906666667;0;6.906666667;0;6.906666667;0;;
22.07.2017 06:24;6.923333333;0;6.923333333;0;6.923333333;0;;
22.07.2017 06:25;6.916666667;0;6.916666667;0;6.916666667;0;;
22.07.2017 06:26;6.933333333;0;6.933333333;0;6.933333333;0;;
22.07.2017 06:27;6.926666667;0;6.926666667;0;6.926666667;0;;
22.07.2017 06:28;6.923333333;0;6.923333333;0;6.923333333;0;;
22.07.2017 06:29;6.933333333;0;6.933333333;0;6.933333333;0;;
22.07.2017 06:30;6.923333333;0;6.923333333;0;6.923333333;0;;
